product,qtyordered,qtycompleted,datecompleted,ross_product_code
IMG5H-44-4524,1100.0,1100,2024-07-22,
IMG5H-44-4524,1100.0,1100,2024-07-24,
IMG5H-44-4024,650.0,650,2024-07-24,
IMG5H-44-4524,1100.0,1100,2024-07-29,
IMG5H-44-4517,900.0,900,2024-08-02,
IMG5H-44-4517,1400.0,1400,2024-08-05,
IMG5H-44-4517,700.0,700,2024-08-06,
IMG5H-44-4517,700.0,700,2024-08-07,
IMG5H-44-5024,800.0,800,2024-08-08,
IMG5H-44-4524,1100.0,1100,2024-08-09,
IMG5H-44-4524,1100.0,1100,2024-08-12,
IMG5H-44-4224,450.0,450,2024-08-12,
IMG5H-44-4524,1100.0,1100,2024-08-12,
IMG5H-44-4524,1100.0,1100,2024-08-13,
IMG5H-44-5024,400.0,400,2024-08-14,
IMG5H-44-4517,900.0,900,2024-08-15,
IMG5H-44-4024,1000.0,1000,2024-08-16,
IMG5H-44-4224,600.0,600,2024-08-17,
IMG5H-44-4224,1000.0,1000,2024-08-19,
IMG5H-44-4524,1000.0,1000,2024-08-20,
IMG5H-44-4524,1050.0,1050,2024-08-21,
IMG5H-44-4517,950.0,950,2024-08-22,
IMG5H-44-4517,150.0,150,2024-08-22,
IMG5H-44-3024,1000.0,1000,2024-08-23,
IMG5H-44-3024,1000.0,1000,2024-08-23,
IMG5H-44-4224,550.0,550,2024-08-23,
IMG5H-44-4024,250.0,250,2024-08-26,
IMG5H-44-4524,1100.0,1100,2024-08-27,
IMG5H-44-4524,1100.0,1100,2024-08-28,
IMG5H-44-5024,1200.0,1200,2024-08-30,
IMG5H-44-4524,300.0,300,2024-08-30,
IMG5H-44-4524,550.0,550,2024-08-30,
IMG5H-44-4524,550.0,550,2024-09-03,
IMG5H-44-2424,150.0,150,2024-09-03,
IMG5H-44-3624,600.0,600,2024-09-04,
IMG5H-44-4224,600.0,600,2024-09-04,
IMG5H-44-4024,1100.0,1100,2024-09-05,
IMG5H-44-4524,1100.0,1100,2024-09-07,
IMG5H-44-4524,800.0,800,2024-09-09,
IMG5H-44-4524,1100.0,1100,2024-09-10,
IMG5H-44-5024,400.0,400,2024-09-10,
IMG5H-44-5024,400.0,400,2024-09-11,
IMG5H-44-4517,1500.0,1500,2024-09-12,
IMG5H-44-4517,1500.0,1500,2024-09-17,
IMG5H-44-4517,1500.0,1500,2024-09-18,
IMG5H-44-4517,300.0,300,2024-09-19,
IMG5H-44-5024,400.0,400,2024-09-20,
IMG5H-44-4224,1100.0,1100,2024-09-24,
IMG5H-44-4224,600.0,600,2024-09-25,
IMG5H-44-3524,650.0,650,2024-09-26,
IMG5H-44-5024,800.0,800,2024-09-30,
IMG5H-44-4024,300.0,300,2024-09-30,
IMG5H-44-2424,250.0,250,2024-09-30,
IMG5H-44-4517,1500.0,1500,2024-10-01,
IMG5H-44-4517,1500.0,1500,2024-10-03,
IMG5H-44-4517,500.0,500,2024-10-04,
IMG5H-44-4518,100.0,100,2024-10-04,
IMG5H-44-4524,1125.0,1125,2024-10-07,
IMG5H-44-3024,1550.0,1550,2024-10-09,
IMG5H-44-5024,400.0,400,2024-10-09,
IMG5H-44-3024,1550.0,1550,2024-10-11,
IMG5H-44-5024,400.0,400,2024-10-11,
IMG5H-44-4524,300.0,300,2024-10-14,
IMG5H-44-4524,125.0,125,2024-10-14,
IMG5H-44-4517,1000.0,1000,2024-10-15,
IMG5H-44-4517,1000.0,1000,2024-10-16,
IMG5H-44-4517,1000.0,1000,2024-10-17,
IMG5H-44-4517,550.0,550,2024-10-17,
IMG5H-44-4524,1100.0,1100,2024-10-19,
IMG5H-44-4524,1000.0,1000,2024-10-21,
IMG5H-44-4524,1000.0,1000,2024-10-22,
IMG5H-44-4524,1000.0,1000,2024-10-23,
IMG5H-44-4524,1000.0,1000,2024-10-24,
IMG5H-44-5024,400.0,400,2024-10-25,
IMG5H-44-4524,800.0,800,2024-10-28,
IMG5H-44-4024,1150.0,1150,2024-10-28,
IMG5H-44-4524,200.0,200,2024-10-28,
IMG5H-44-3024,100.0,100,2024-10-28,
IMG5H-44-4224,1050.0,1050,2024-10-29,
IMG5H-44-4224,1050.0,1050,2024-10-30,
IMG5H-44-4524,1050.0,1050,2024-11-01,
IMG5H-44-4024,150.0,150,2024-11-01,
IMG5H-44-5024,700.0,700,2024-11-04,
IMG5H-44-4524,950.0,950,2024-11-05,
IMG5H-44-4224,550.0,550,2024-11-05,
IMG5H-44-3624,500.0,500,2024-11-06,
IMG5H-44-5024,400.0,400,2024-11-06,
IMG5H-44-5018,550.0,550,2024-11-07,
IMG5H-44-4524,1100.0,1100,2024-11-11,
IMG5H-44-4024,500.0,500,2024-11-12,
IMG5H-44-4518,1400.0,1400,2024-11-13,
IMG5H-44-4524,1100.0,1100,2024-11-15,
IMG5H-44-4524,500.0,500,2024-11-18,
IMG5H-44-5024,800.0,800,2024-11-19,
IMG5H-44-5024,400.0,400,2024-11-19,
IMG5H-44-5024,400.0,400,2024-11-20,
IMG5H-44-3624,1100.0,1100,2024-11-21,
IMG5H-44-2424,500.0,500,2024-11-21,
IMG5H-44-3524,700.0,700,2024-11-25,
IMG5H-44-3024,625.0,625,2024-11-25,
IMG5H-44-4024,450.0,450,2024-11-26,
IMG5H-44-4524,600.0,600,2024-11-26,
IMG5H-44-4524,550.0,550,2024-11-27,
IMG5H-44-5024,700.0,700,2024-11-28,
IMG5H-44-4224,1100.0,1100,2024-12-02,
IMG5H-44-3524,700.0,700,2024-12-03,
IMG5H-44-4524,1350.0,1350,2024-12-04,
IMG5H-44-4524,1400.0,1400,2024-12-06,
IMG5H-44-4524,1100.0,1100,2024-12-09,
IMG5H-44-4024,700.0,700,2024-12-10,
IMG5H-44-5024,800.0,800,2024-12-11,
IMG5H-44-4224,1050.0,1050,2024-12-12,
IMG5H-44-4024,1100.0,1100,2024-12-13,
IMG5H-44-4524,1100.0,1100,2024-12-16,
IMG5H-44-4524,1100.0,1100,2024-12-17,
IMG5H-44-5024,800.0,800,2024-12-18,
IMG5H-44-2424,650.0,650,2024-12-19,
IMG5H-44-4524,500.0,500,2024-12-19,
IMG5H-44-4517,1000.0,1000,2025-01-06,
IMG5H-44-4524,1200.0,1200,2025-01-08,
IMG5H-44-3524,600.0,600,2025-01-08,
IMG5H-44-5024,1200.0,1200,2025-01-13,
IMG5H-44-4224,50.0,50,2025-01-13,
IMG5H-44-4524,1100.0,1100,2025-01-14,
IMG5H-44-4524,1100.0,1100,2025-01-16,
IMG5H-44-4224,1650.0,1650,2025-01-17,
IMG5H-44-3624,650.0,650,2025-01-20,
IMG5H-44-4524,1100.0,1100,2025-01-21,
IMG5H-44-4524,1100.0,1100,2025-01-22,
IMG5H-44-5024,300.0,300,2025-01-22,
IMG5H-44-5024,800.0,800,2025-01-23,
IMG5H-44-4224,1100.0,1100,2025-01-24,
IMG5H-44-3024,475.0,475,2025-01-28,
IMG5H-44-3524,400.0,400,2025-01-28,
IMG5H-44-4524,550.0,550,2025-01-28,
IMG5H-44-4518,2100.0,2100,2025-01-31,
IMG5H-44-4518,2100.0,2100,2025-02-01,
IMG5H-44-4524,1100.0,1100,2025-02-03,
IMG5H-44-4524,1100.0,1100,2025-02-04,
IMG5H-44-5024,1200.0,1200,2025-02-06,
IMG5H-44-4224,1100.0,1100,2025-02-07,
IMG5H-44-4224,1100.0,1100,2025-02-08,
IMG5H-44-4224,1100.0,1100,2025-02-10,
IMG5H-44-3624,550.0,550,2025-02-11,
IMG5H-44-3524,600.0,600,2025-02-11,
IMG5H-44-4024,650.0,650,2025-02-12,
IMG5H-44-4524,1100.0,1100,2025-02-13,
IMG5H-44-4524,1100.0,1100,2025-02-17,
IMG5H-44-4524,1100.0,1100,2025-02-18,
IMG5H-44-4524,1100.0,1100,2025-02-19,
IMG5H-44-3524,350.0,350,2025-02-19,
IMG5H-44-4224,1100.0,1100,2025-02-20,
IMG5H-44-4224,1100.0,1100,2025-02-21,
IMG5H-44-4224,1100.0,1100,2025-02-24,
IMG5H-44-4517,1275.0,1275,2025-02-25,
IMG5H-44-4518,1650.0,1650,2025-02-27,
IMG5H-44-4518,500.0,500,2025-02-27,
IMG5H-44-4524,1100.0,1100,2025-03-05,
IMG5H-44-4524,1100.0,1100,2025-03-05,
IMG5H-44-4524,550.0,550,2025-03-06,
IMG5H-44-3524,500.0,500,2025-03-06,
IMG5H-44-5024,1150.0,1150,2025-03-11,
IMG5H-44-4024,300.0,300,2025-03-11,
IMG5H-44-4224,550.0,550,2025-03-12,
IMG5H-44-4524,1100.0,1100,2025-03-13,
IMG5H-44-4524,1100.0,1100,2025-03-17,
IMG5H-44-4224,400.0,400,2025-03-18,
IMG5H-44-3024,600.0,600,2025-03-18,
IMG5H-44-5024,400.0,400,2025-03-19,
IMG5H-44-4524,1100.0,1100,2025-03-20,
IMG5H-44-4524,1100.0,1100,2025-03-24,
IMG5H-44-4224,600.0,600,2025-03-25,
IMG5H-44-3524,750.0,750,2025-03-25,
IMG5H-44-4524,700.0,700,2025-03-26,
IMG5H-44-3624,600.0,600,2025-03-27,
IMG5H-44-4224,800.0,800,2025-03-31,
IMG5H-44-4524,150.0,150,2025-04-01,
IMG5H-44-5024,400.0,400,2025-04-01,
IMB5-44-4524,1400.0,1400,2025-04-03,SMB4524101005
IMG5H-44-4524,17.0,17,2025-04-07,
IMG5H-44-4517,1400.0,1400,2025-04-08,
IMG5H-44-4024,1250.0,1250,2025-04-10,
IMG5H-44-4024,500.0,500,2025-04-10,
IMG5H-44-4224,1650.0,1650,2025-04-15,
IMG5H-44-4224,1100.0,1100,2025-04-16,
IMG5H-44-4224,800.0,800,2025-04-22,
IMG5H-44-4024,300.0,300,2025-04-22,
IMG5H-44-4024,400.0,400,2025-04-23,
IMG5H-44-2424,500.0,500,2025-04-23,
IMG5H-44-3024,225.0,225,2025-04-24,
IMG5H-44-4524,1000.0,1000,2025-04-29,
IMG5H-44-3624,600.0,600,2025-04-29,
IMG5H-44-5024,1200.0,1200,2025-04-30,
IMG5H-44-4224,1200.0,1200,2025-05-05,
IMG5H-44-4224,1200.0,1200,2025-05-07,
IMG5H-44-4224,1200.0,1200,2025-05-08,
IMG5H-44-4518,2800.0,2800,2025-05-14,
IMG5H-44-4517,700.0,700,2025-05-14,
IMG5H-44-4224,700.0,700,2025-05-15,
IMG5H-44-4224,1600.0,1600,2025-05-20,
IMG5H-44-3624,550.0,550,2025-05-21,
IMG5H-44-4224,1600.0,1600,2025-05-22,
IMG5H-44-4224,1100.0,1100,2025-05-26,
IMG5H-44-4524,2000.0,2000,2025-05-28,
IMG5H-44-4517,2100.0,2100,2025-06-04,
IMG5H-44-4518,1650.0,1650,2025-06-05,
IMG5H-44-5024,1300.0,1300,2025-06-09,
IMG5H-44-3524,600.0,600,2025-06-09,
IMG5H-44-4024,1400.0,1400,2025-06-11,
IMG5H-44-4524,3000.0,3000,2025-06-17,CCP45241010056G
IMG5H-44-4224,1600.0,1600,2025-06-19,CCP42241010056G
IMG5H-44-4224,1600.0,1600,2025-06-20,CCP42241010056G
IMG5H-44-4524,2200.0,2200,2025-06-25,CCP45241010056G
IMG5H-44-4224,1600.0,1600,2025-06-26,CCP42241010056G
IMG5H-44-4224,1600.0,1600,2025-07-01,CCP42241010056G
IMG5H-44-4524,1100.0,1100,2025-07-02,CCP45241010056G
IMG5H-44-4524,1100.0,1100,2025-07-03,CCP45241010056G
IMG5H-44-4524,1100.0,1100,2025-07-04,CCP45241010056G
IMG5H-44-4524,1100.0,1100,2025-07-07,CCP45241010056G
IMG5H-44-4524,1100.0,1100,2025-07-08,CCP45241010056G
IMG5H-44-3524,800.0,800,2025-07-09,CCP35241010056G
IMG5H-44-3624,500.0,500,2025-07-09,CCP36241010056G
IMG5H-44-4524,1050.0,1050,2025-07-14,CCP45241010056G
IMG5H-44-4024,850.0,850,2025-07-14,CCP40241010056G
IMG5H-44-4024,1150.0,1150,2025-07-15,CCP40241010056G
IMG5H-44-4524,1100.0,1125,2025-07-16,CCP45241010056G
IMG5H-44-4524,1100.0,1100,2025-07-17,CCP45241010056G
IMG5H-44-4024,1600.0,1600,2025-07-21,CCP40241010056G
IMG5H-44-4024,1100.0,1100,2025-07-22,CCP40241010056G
IMG5H-44-4224,1600.0,1602,2025-07-23,CCP42241010056G
IMG5H-44-4224,1600.0,1600,2025-07-25,CCP42241010056G
IMG5H-44-4224,1200.0,1200,2025-07-28,CCP45241010056G
IMG5H-44-4224,1600.0,1600,2025-07-29,
IMG5H-44-5024,1000.0,1000,2025-07-30,CCP50241010056G
IMG5H-44-4524,1600.0,1600,2025-07-31,CCP45241010056G
IMG5H-44-4524,1600.0,1600,2025-08-04,
IMG5H-44-4224,1600.0,1600,2025-08-05,CCP42241010056G
IMG5H-44-4224,1600.0,1600,2025-08-07,CCP42241010056G
